Calendario lezioni;;;;;;;;;;;;;;;
Percorsi di formazione iniziale dei docenti                   ;;;;;;;;;;;;;;;
(DPCM 4 agosto 2023);;;;;;;;;;;;;;;
Data;Orario;Dipartimento;Classe di concorso;Insegnamento comune;PeF60 all.1;PeF30 all.2;PeF36 all.5;PeF30 art.13;Codice insegnamento;Denominazione Insegnamento;Docente;Aula;Link Teams;CFU;Note
nan;14:30-16:45;Area Trasversale - Canale A;;Trasversale A;D;D;D;D;22911105.0;Pedagogia generale e interculturale;Scaramuzzo Gilberto;;;0,5;
nan;14:30-16:45;;;;;;;;;; ;;;;
nan;16:45-19:00;Area Trasversale - Canale A;;Trasversale A;D;D;D;D;22911105.0;Pedagogia generale e interculturale;Catarci Marco;;;0,5;
nan;14:30-16:45;Area Trasversale - Canale A;;Trasversale A;D;D;---;D;22911105.0;Pedagogia generale e interculturale;Catarci Marco;;;0,5;
nan;15:00-17:15;Studi Umanistici;A054;A017;P;P;P;D;;Didattica della storia dell'arte antica;Latini Alexia;;;0,5;
nan;17:30-19:45;Studi Umanistici;A054;A017;P;P;P;D;;Didattica della storia dell'arte medievale;Ballardini Antonella;;;0,5;
nan;8:00-10:15;Studi Umanistici;A054;A017;P;P;P;D;;Didattica della storia dell'arte antica;Latini Alexia;;;0,5;
nan;10:30-12:45;Studi Umanistici;A054;A017;P;P;P;D;;Didattica della storia dell'arte medievale;Ballardini Antonella;;;0,5;
nan;14:30-16:45;Area Trasversale - Canale A;;Trasversale A;D;D;---;D;22911108.0;Didattica inclusiva;Guerini Ines;;;0,5;
nan;14:30-16:45;Area Trasversale - Canale A;;Trasversale A;D;D;D;D;22911107.0;Valutazione scolastica;Nirchi Stefania;;;0,5;
nan;16:45-19:00;Area Trasversale - Canale A;;Trasversale A;D;D;D;D;22911109.0;Progettazione didattica e metodologie innovative;La Rocca Concetta;;;0,5;
nan;15:00-17:15;Studi Umanistici;A054;A017;P;---;P;D;;Didattica della storia dell'arte medievale;Bordi Giulia;;;0,5;
nan;15:00-17:15;Studi Umanistici;A054;A017;P;P;P;D;;Didattica della storia dell'arte contemporanea;Iamurri Laura;;;0,5;
nan;17:30-19:45;Studi Umanistici;A054;A017;P;---;P;D;;Didattica della storia dell'arte medievale;Bordi Giulia;;;0,5;
nan;8:00-10:15;Studi Umanistici;A054;A017;P;---;P;D;;Didattica della storia dell'arte moderna;Terzaghi Maria Cristina;;;0,5;
nan;10:30-12:45;Studi Umanistici;A054;A017;P;P;P;D;;Didattica della storia dell'arte contemporanea;Iamurri Laura;;;0,5;
